<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20220601;160000;31.149.7400000;31.197.4100000;30.694.8700000;30.694.8700000;132
20220601;170000;30.709.4400000;30.719.6600000;30.282.6700000;30.382.7700000;189
20220601;180000;30.382.7700000;30.399.2000000;29.869.9700000;30.165.8200000;156
20220601;190000;30.140.1900000;30.417.1900000;30.092.5000000;30.146.1100000;73
20220601;200000;30.131.8100000;30.315.4000000;29.984.0200000;30.104.8300000;77
20220601;210000;30.076.7900000;30.130.3100000;29.309.8400000;29.610.0200000;275
20220601;220000;29.607.3600000;29.759.3000000;29.552.0200000;29.572.7400000;12
20220601;230000;29.576.6800000;29.749.6200000;29.499.9500000;29.736.3100000;12
20220602;000000;29.740.1100000;30.036.7700000;29.707.5000000;29.787.4000000;67
20220602;010000;29.791.9600000;29.800.4800000;29.568.1300000;29.655.6100000;22
20220602;020000;29.672.2900000;29.860.7800000;29.627.0800000;29.801.4000000;3
20220602;030000;29.789.1800000;29.873.3400000;29.756.7300000;29.805.1300000;1
20220602;040000;29.807.9400000;29.839.0700000;29.686.2500000;29.711.7000000;4
20220602;050000;29.699.8000000;29.800.9700000;29.632.6100000;29.785.3100000;4
20220602;060000;29.784.1600000;29.869.1200000;29.651.1700000;29.858.6300000;8
20220602;070000;29.858.6200000;29.935.8400000;29.792.7000000;29.907.5000000;30
20220602;080000;29.907.5000000;30.087.0900000;29.885.6700000;29.949.8200000;56
20220602;090000;29.933.5300000;29.997.9500000;29.901.5000000;29.923.0900000;9
20220602;100000;29.924.4900000;30.000.0000000;29.845.6000000;29.916.1000000;6
20220602;110000;29.916.9200000;30.137.6700000;29.845.6000000;30.017.1300000;25
20220602;120000;29.998.5000000;30.181.9900000;29.930.6900000;30.162.2100000;11
20220602;130000;30.170.6300000;30.170.6300000;30.022.3400000;30.071.3700000;2
20220602;140000;30.075.5300000;30.225.0000000;29.574.0200000;29.887.5700000;157
20220602;150000;29.841.7200000;30.123.2100000;29.749.6300000;30.035.0600000;28
20220602;160000;30.044.3200000;30.349.9600000;30.044.1600000;30.183.1300000;75
20220602;170000;30.201.8400000;30.379.6800000;30.172.4200000;30.279.5500000;27
20220602;180000;30.279.5600000;30.337.3500000;30.148.7200000;30.181.5200000;25
20220602;190000;30.181.3700000;30.314.4100000;29.964.5900000;30.118.3900000;9
20220602;200000;30.122.2000000;30.284.6300000;30.055.3600000;30.284.0300000;6
20220602;210000;30.282.4000000;30.370.0100000;30.218.7700000;30.233.4600000;27
20220602;220000;30.222.2700000;30.356.7600000;30.214.0300000;30.352.4700000;2
20220602;230000;30.352.4700000;30.688.8200000;30.311.2800000;30.471.1800000;76
20220603;000000;30.471.1800000;30.615.5200000;30.405.0400000;30.437.1800000;11
20220603;010000;30.437.7700000;30.488.1000000;30.331.8400000;30.380.0300000;4
20220603;020000;30.376.2500000;30.670.0700000;30.364.0700000;30.588.8300000;25
20220603;030000;30.606.2200000;30.636.1600000;30.503.9500000;30.521.2800000;6
20220603;040000;30.517.7800000;30.545.4800000;30.440.6500000;30.512.6200000;12
20220603;050000;30.513.0300000;30.518.0000000;30.398.1700000;30.416.0700000;6
20220603;060000;30.396.5800000;30.542.9200000;30.396.5600000;30.524.3000000;2
20220603;070000;30.515.5100000;30.524.2600000;30.341.2200000;30.350.6800000;4
20220603;080000;30.352.9600000;30.477.3000000;30.258.7600000;30.441.4400000;23
20220603;090000;30.408.9900000;30.512.0200000;30.367.0400000;30.415.1300000;1
20220603;100000;30.423.6700000;30.450.3000000;30.140.3700000;30.242.3100000;25
20220603;110000;30.242.3700000;30.255.3000000;29.727.2600000;29.785.3100000;122
20220603;120000;29.813.8900000;29.931.5200000;29.656.9600000;29.731.4200000;46
20220603;130000;29.733.4800000;29.855.9300000;29.461.8900000;29.509.8600000;64
20220603;140000;29.489.2000000;29.761.7100000;29.419.4900000;29.700.1300000;81
20220603;150000;29.699.2100000;29.734.9000000;29.232.9900000;29.451.7500000;66
20220603;160000;29.442.5700000;29.536.9000000;29.310.2600000;29.462.5400000;29
20220603;170000;29.475.6400000;29.532.5100000;29.355.6600000;29.519.1100000;8
20220603;180000;29.515.1200000;29.633.1500000;29.394.7700000;29.461.4200000;7
20220603;190000;29.460.0000000;29.534.4200000;29.422.0200000;29.506.2300000;3
20220603;200000;29.513.2700000;29.590.0000000;29.467.5500000;29.562.1400000;3
20220603;210000;29.547.8100000;29.713.9600000;29.533.2800000;29.641.7700000;9
20220603;220000;29.651.8800000;29.828.2700000;29.628.7500000;29.775.8700000;31
20220603;230000;29.787.6900000;29.869.3500000;29.686.9000000;29.708.1100000;7
20220604;000000;29.701.0000000;29.716.6200000;29.627.5000000;29.669.3900000;5
20220604;010000;29.688.1700000;29.746.3000000;29.661.4600000;29.699.2100000;1
20220604;020000;29.724.0700000;29.724.0700000;29.527.4200000;29.567.0700000;4
20220604;030000;29.542.4800000;29.601.4900000;29.461.0100000;29.544.1600000;3
20220604;040000;29.546.3300000;29.606.6300000;29.533.1700000;29.540.4800000;5
20220604;050000;29.527.4200000;29.709.2400000;29.527.4200000;29.698.3300000;0
20220604;060000;29.698.3300000;29.698.3300000;29.635.7900000;29.638.3300000;5
20220604;070000;29.644.3300000;29.686.4600000;29.629.4100000;29.669.0400000;1
20220604;080000;29.675.1700000;29.691.3100000;29.615.8300000;29.691.3100000;0
20220604;090000;29.685.4300000;29.770.6500000;29.653.0000000;29.718.6900000;3
20220604;100000;29.736.0000000;29.744.2400000;29.650.0300000;29.692.0400000;0
20220604;110000;29.692.0400000;29.757.3800000;29.672.6100000;29.709.4900000;4
20220604;120000;29.710.1100000;29.723.9500000;29.582.7400000;29.662.9300000;1
20220604;130000;29.662.9300000;29.682.0900000;29.500.3600000;29.519.3100000;2
20220604;140000;29.506.3300000;29.621.1500000;29.506.3300000;29.579.0100000;0
20220604;150000;29.578.9100000;29.942.0000000;29.444.2100000;29.756.6200000;118
20220604;160000;29.764.3000000;29.864.0800000;29.727.8500000;29.844.9300000;1
20220604;170000;29.840.5400000;29.840.5400000;29.725.0000000;29.736.0000000;2
20220604;180000;29.738.2100000;29.740.4300000;29.597.5000000;29.678.8100000;5
20220604;190000;29.694.2500000;29.780.0400000;29.688.0600000;29.751.8000000;3
20220604;200000;29.738.8400000;29.762.0400000;29.613.2500000;29.636.0800000;5
20220604;210000;29.623.4100000;29.742.0100000;29.611.0700000;29.730.7500000;3
20220604;220000;29.738.8800000;29.832.7800000;29.728.4800000;29.832.7800000;3
20220604;230000;29.819.3700000;29.948.8400000;29.760.4700000;29.787.3900000;29
20220605;000000;29.763.7900000;29.853.5100000;29.745.7800000;29.853.5100000;2
20220605;010000;29.834.0600000;29.876.5300000;29.716.9300000;29.723.6700000;3
20220605;020000;29.720.4200000;29.737.2500000;29.660.8100000;29.681.8900000;2
20220605;030000;29.704.2900000;29.788.6300000;29.678.0800000;29.782.1300000;3
20220605;040000;29.774.7300000;29.801.0200000;29.722.2200000;29.746.7800000;0
20220605;050000;29.750.2800000;29.768.4400000;29.668.2200000;29.714.3100000;10
20220605;060000;29.716.8200000;29.801.0200000;29.716.8200000;29.773.1500000;3
20220605;070000;29.778.8400000;29.780.4100000;29.724.4000000;29.724.4000000;1
20220605;080000;29.705.7600000;29.796.6300000;29.631.2600000;29.651.2200000;2
20220605;090000;29.618.7400000;29.726.3200000;29.618.3100000;29.673.6100000;4
20220605;100000;29.678.5800000;29.678.5800000;29.514.9600000;29.624.9000000;13
20220605;110000;29.614.6200000;29.685.8100000;29.584.0000000;29.621.5000000;3
